3,1,20.46,142.13,78.74,200.58,1,-1,-1,-1
3,2,119.52,148.81,89.80,181.43,1,-1,-1,-1
3,3,317.00,213.05,14.01,32.64,1,-1,-1,-1
4,1,24.53,143.68,79.19,201.44,1,-1,-1,-1
4,2,124.45,147.74,89.34,182.80,1,-1,-1,-1
4,3,323.25,212.28,14.20,32.89,1,-1,-1,-1
5,1,29.67,146.25,80.28,202.44,1,-1,-1,-1
5,2,131.61,148.17,89.56,185.96,1,-1,-1,-1
5,3,329.49,212.70,14.28,33.20,1,-1,-1,-1
5,4,263.94,199.04,26.53,66.91,1,-1,-1,-1
6,1,33.52,147.58,81.07,202.89,1,-1,-1,-1
6,2,138.01,146.04,89.77,188.40,1,-1,-1,-1
6,4,271.15,201.53,26.19,66.48,1,-1,-1,-1
6,5,247.48,198.33,29.12,69.54,1,-1,-1,-1
7,1,37.66,144.53,81.31,204.97,1,-1,-1,-1
7,2,142.64,145.34,90.33,190.05,1,-1,-1,-1
7,4,278.25,200.88,26.25,66.38,1,-1,-1,-1
7,5,254.69,197.65,28.36,69.40,1,-1,-1,-1
7,6,230.42,202.20,24.53,65.72,1,-1,-1,-1
8,1,40.12,142.50,82.50,207.57,1,-1,-1,-1
8,2,146.11,145.64,91.63,191.68,1,-1,-1,-1
8,4,285.67,202.17,26.19,66.45,1,-1,-1,-1
8,5,262.25,199.08,27.81,68.82,1,-1,-1,-1
8,6,236.86,202.16,24.62,66.47,1,-1,-1,-1
9,1,43.56,141.17,83.28,209.46,1,-1,-1,-1
9,2,149.98,143.99,92.71,193.19,1,-1,-1,-1
9,4,292.15,202.65,26.21,66.56,1,-1,-1,-1
9,5,268.85,198.80,27.52,69.21,1,-1,-1,-1
9,6,242.62,202.56,24.74,66.78,1,-1,-1,-1
10,1,48.74,139.33,83.67,211.46,1,-1,-1,-1
10,2,155.55,143.29,93.71,194.77,1,-1,-1,-1
10,4,299.66,202.62,26.29,66.78,1,-1,-1,-1
10,5,276.88,199.03,27.10,69.08,1,-1,-1,-1
10,6,250.03,202.09,24.80,67.24,1,-1,-1,-1
11,1,52.47,137.23,84.93,213.58,1,-1,-1,-1
11,2,161.49,142.86,94.59,196.16,1,-1,-1,-1
11,4,306.97,202.11,26.52,67.21,1,-1,-1,-1
11,5,284.24,198.67,26.72,69.26,1,-1,-1,-1
11,6,257.38,201.38,25.03,67.77,1,-1,-1,-1
12,1,59.37,136.04,85.22,215.90,1,-1,-1,-1
12,2,168.28,141.13,95.82,198.98,1,-1,-1,-1
12,4,315.43,202.40,26.77,67.71,1,-1,-1,-1
12,5,293.16,200.52,26.40,69.13,1,-1,-1,-1
12,6,266.78,202.27,25.15,67.97,1,-1,-1,-1
13,1,63.87,135.45,86.09,217.88,1,-1,-1,-1
13,2,175.81,141.06,96.62,200.97,1,-1,-1,-1
13,4,323.77,202.54,26.66,67.98,1,-1,-1,-1
13,5,300.72,200.96,26.28,69.09,1,-1,-1,-1
13,6,274.81,203.17,24.97,67.94,1,-1,-1,-1
14,1,71.12,134.74,86.49,220.01,1,-1,-1,-1
14,2,184.06,139.61,97.73,203.47,1,-1,-1,-1
14,4,332.57,201.90,26.73,68.48,1,-1,-1,-1
14,5,309.15,201.51,26.17,68.88,1,-1,-1,-1
14,6,283.74,202.99,25.01,68.15,1,-1,-1,-1
15,1,77.79,133.69,86.89,222.54,1,-1,-1,-1
15,2,193.12,139.13,98.37,205.55,1,-1,-1,-1
15,4,341.48,201.57,26.94,68.99,1,-1,-1,-1
15,5,318.76,200.62,26.14,69.33,1,-1,-1,-1
15,6,293.64,202.68,25.10,68.43,1,-1,-1,-1
16,1,83.46,131.91,87.48,225.15,1,-1,-1,-1
16,2,201.42,138.00,99.09,207.77,1,-1,-1,-1
16,4,350.26,201.02,27.06,69.24,1,-1,-1,-1
16,5,326.95,199.44,26.37,69.66,1,-1,-1,-1
16,6,302.74,200.43,24.72,69.05,1,-1,-1,-1
17,1,87.75,129.88,87.97,228.13,1,-1,-1,-1
17,2,208.99,136.01,99.32,210.38,1,-1,-1,-1
17,4,358.33,201.06,27.06,69.24,1,-1,-1,-1
17,5,334.28,197.85,26.44,70.17,1,-1,-1,-1
17,6,309.66,198.75,24.87,69.60,1,-1,-1,-1
18,1,90.61,127.33,88.81,231.67,1,-1,-1,-1
18,2,215.19,135.53,100.26,212.93,1,-1,-1,-1
18,5,342.24,197.78,26.44,70.17,1,-1,-1,-1
18,6,315.71,197.77,25.05,70.15,1,-1,-1,-1
19,1,92.52,124.62,89.58,235.09,1,-1,-1,-1
19,2,219.94,134.02,101.10,215.30,1,-1,-1,-1
20,1,92.59,121.06,90.43,238.33,1,-1,-1,-1
20,2,222.00,131.25,102.74,218.29,1,-1,-1,-1
21,1,91.15,117.70,91.42,241.94,1,-1,-1,-1
21,2,223.90,129.09,104.22,221.84,1,-1,-1,-1
